name*,version*,license*,vendor/community,end-of-support,dependencies,language
antlr,2.7.7-redhat-1,BSD 3-clause,,,,java
aopalliance,1.0.0,Public Domain,,,,java
asm,3.3.1,BSD 3-clause,,,,java
cglib,2.2.2,Apache 2.0,,,,java
commons-beanutils,1.8.3,Apache 2.0,,,,java
commons-codec,1.3,Apache 2.0,,,,java
commons-collections,3.2.1,Apache 2.0,,,,java
commons-httpclient,3.1,Apache 2.0,,,,java
commons-lang,2.6,Apache 2.0,,,,java
commons-logging,1.1,Apache 2.0,,,,java
cxf,2.7.7,Apache 2.0,,,,java
cxf-api,2.4.6-redhat-1,Apache 2.0,,,,java
displaytag,1.2,Artistic License,,,,java
dom4j,1.6.1-redhat-1,BSD 4-clause,,,,java
dozer,5.3.2,Apache 2.0,,,,java
guava,12,Apache 2.0,,,,java
hibernate-commons-annotations,4.0.1.Final-redhat-1,LGPL 2.1,,,,java
hibernate-core,4.1.3.Final-redhat-1,LGPL 2.1,,,,java
hibernate-entitymanager,4.1.3.Final-redhat-1,LGPL 2.1,,,,java
hibernate-jpa-2.0-api,1.0.1.Final-redhat-1,EPL 1.0,,,,java
hibernate-jpamodelgen,1.2.0.Final,LGPL 2.1,,,,java
hibernate-validator,4.2.0.Final-redhat-1,Apache 2.0,,,,java
jackson-core-asl,1.9.2-redhat-1,Apache 2.0,,,,java
jackson-mapper-asl,1.9.2-redhat-1,Apache 2.0,,,,java
javassist,3.16.1-GA,Apache 2.0+LGPL 2.1+MPL 1.1,,,,java
jboss-ejb-api_3.1_spec,1.0.2.Final-redhat-1,CDDL+GPL 2.0,,,,java
jboss-jsp-api_2.2_spec,1.0.1.Final-redhat-1,LGPL 2.1,,,,java
jboss-jstl-api_1.2_spec,1.0.3.Final-redhat-1,CDDL,,,,java
jboss-logging,3.1.1.GA-redhat-1,LGPL 2.1,,,,java
jboss-servlet-api_3.0_spec,1.0.1.Final-redhat-1,CDDL+GPL 2.0,,,,java
jboss-transaction-api_1.1_spec,1.0.1.Final-redhat-1,CDDL+GPL 2.0,,,,java
jtype,0.1.1-redhat-1,Apache 2.0,,,,java
log4j,1.2.15,Apache 2.0,,,,java
mail,1.4.1,CDDL+GPL 2.0,,,,java
postgresql,9.1-903.jdbc4,POSTGRESQL,,,,java
slf4j-api,1.6.4,MIT,,,,java
spring-aop,3.1.1.RELEASE,Apache 2.0,,,,java
spring-asm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-beans,3.1.1.RELEASE,Apache 2.0,,,,java
spring-context,3.1.1.RELEASE,Apache 2.0,,,,java
spring-core,3.1.1.RELEASE,Apache 2.0,,,,java
spring-data-commons-core,1.4.0.RELEASE,Apache 2.0,,,,java
spring-data-jpa,1.2.0.RELEASE,Apache 2.0,,,,java
spring-expression,3.1.1.RELEASE,Apache 2.0,,,,java
spring-jdbc,3.1.1.RELEASE,Apache 2.0,,,,java
spring-orm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-tx,3.1.1.RELEASE,Apache 2.0,,,,java
spring-web,3.1.1.RELEASE,Apache 2.0,,,,java
spring-webmvc,3.1.1.RELEASE,Apache 2.0,,,,java
validation-api,1.0.0.GA-redhat-1,Apache 2.0,,,,java
xercesImpl,2.9.0,Apache 2.0,,,,java
xml-apis,1.3.04,Apache 2.0,,,,java
xstream,1.3,BSD 2-clause,,,,java
bootbox,4.1.0,MIT,,,,javascript
bootstrap,2.1.1,Apache 2.0,,,,javascript
bwizard,,GPL 3.0,,,,javascript
datatable,1.9.4,GPL 2.0+BSD 3-clause,,,,javascript
jquery,1.8.1,MIT,,,,javascript
prettify,,Apache 2.0,,,,javascript
ztree,3.5.12,MIT,,,,javascript